empid,name,phone,email,department
123,Amanda Roo,1234567890,temp@email.com,hr
234,Andrew Cho,1234567890,temp@email.com,hr
345,Andrew Goldf,1234567890,temp@email.com,manuf
456,Andy Shiffman,1234567890,temp@email.com,manuf
567,Anna Frisch,1234567890,temp@email.com,manuf
678,Ben Rogers,1234567890,temp@email.com,manuf
789,Ben Conte,1234567890,temp@email.com,manuf
890,Biola Mac,1234567890,temp@email.com,manuf
1123,Brian Rue,1234567890,temp@email.com,manuf
2234,Brianna Olachea,1234567890,temp@email.com,manuf
3345,Carey Web,1234567890,temp@email.com,manuf
4456,Cathie Horton,1234567890,temp@email.com,manuf
5567,Jake Kirkwood,1234567890,temp@email.com,manuf
